"행정구역","2024년11월_남_총인구수","2024년11월_남_연령구간인구수","2024년11월_남_0~9세","2024년11월_남_10~19세","2024년11월_남_20~29세","2024년11월_남_30~39세","2024년11월_남_40~49세","2024년11월_남_50~59세","2024년11월_남_60~69세","2024년11월_남_70~79세","2024년11월_남_80~89세","2024년11월_남_90~99세","2024년11월_남_100세 이상","2024년11월_여_총인구수","2024년11월_여_연령구간인구수","2024년11월_여_0~9세","2024년11월_여_10~19세","2024년11월_여_20~29세","2024년11월_여_30~39세","2024년11월_여_40~49세","2024년11월_여_50~59세","2024년11월_여_60~69세","2024년11월_여_70~79세","2024년11월_여_80~89세","2024년11월_여_90~99세","2024년11월_여_100세 이상"
"경기도 용인시 처인구 (4146100000)","139,728","139,728","9,017","13,237","17,969","18,918","22,829","24,553","20,178","9,185","3,477","360","5","133,044","133,044","8,657","12,510","14,825","16,113","20,805","23,233","19,618","10,362","5,763","1,128","30"
"경기도 용인시 기흥구 (4146300000)","215,015","215,015","15,469","25,235","28,510","26,487","36,081","38,722","24,229","12,824","6,695","743","20","221,460","221,460","14,456","24,187","26,262","25,735","38,442","39,465","25,749","16,632","8,829","1,642","61"
"경기도 용인시 수지구 (4146500000)","182,612","182,612","14,803","23,176","21,992","23,153","32,341","30,981","18,819","10,823","5,960","551","13","192,665","192,665","14,412","22,364","21,637","24,971","35,372","31,604","19,962","14,100","7,046","1,168","29"
"경기도 파주시 (4148000000)","257,695","257,695","20,203","26,990","29,895","37,139","43,992","44,227","32,817","14,829","6,869","715","19","252,445","252,445","19,236","26,352","25,429","34,529","41,446","41,444","32,436","17,825","11,590","2,109","49"
"경기도 이천시 (4150000000)","116,073","116,073","7,465","11,376","15,755","17,076","17,847","19,140","16,748","7,341","2,972","341","12","106,550","106,550","7,017","10,704","11,925","13,552","16,085","17,677","15,728","7,966","4,951","917","28"
"경기도 안성시 (4155000000)","100,033","100,033","5,685","9,044","12,193","12,703","15,712","17,765","15,691","7,736","3,141","358","5","93,579","93,579","5,284","8,449","9,991","10,137","13,543","15,887","15,199","8,426","5,471","1,164","28"
"경기도 김포시 (4157000000)","243,045","243,045","21,668","27,688","24,716","31,988","47,555","38,420","29,929","14,902","5,641","524","14","243,860","243,860","20,501","26,782","23,555","32,845","45,918","36,548","30,618","16,965","8,482","1,608","38"
"경기도 화성시 (4159000000)","501,915","501,915","47,273","57,518","59,711","84,840","97,481","77,314","50,046","19,959","7,050","709","14","464,916","464,916","45,032","55,550","51,233","75,095","87,952","67,557","46,557","21,739","11,737","2,398","66"
"경기도 화성시동부출장소 (4159200000)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"경기도 화성시동탄출장소 (4159400000)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"경기도 광주시 (4161000000)","202,724","202,724","14,869","18,284","21,494","27,759","35,998","35,699","29,897","13,579","4,735","394","16","195,032","195,032","14,167","17,549","19,115","25,147","32,471","33,939","29,931","14,499","6,892","1,276","46"
"경기도 양주시 (4163000000)","145,123","145,123","11,689","14,251","16,493","20,077","23,892","24,908","19,975","9,563","3,891","370","14","143,150","143,150","11,419","13,903","14,799","18,887","22,512","23,808","19,630","10,797","6,177","1,183","35"
"경기도 포천시 (4165000000)","74,848","74,848","3,209","5,267","8,488","7,772","8,886","14,805","16,410","6,910","2,791","294","16","66,724","66,724","2,903","4,831","6,547","5,867","7,512","12,466","13,636","7,007","4,958","969","28"
"경기도 여주시 (4167000000)","58,412","58,412","2,988","4,774","5,847","6,088","7,787","10,608","11,484","6,088","2,468","274","6","56,339","56,339","2,835","4,354","4,942","5,240","7,409","9,694","10,940","6,160","3,911","824","30"
"경기도 연천군 (4180000000)","21,361","21,361","991","1,408","2,640","2,291","2,221","3,432","4,584","2,464","1,187","137","6","19,443","19,443","926","1,306","1,542","1,571","1,855","2,929","4,193","2,672","2,092","346","11"
"경기도 가평군 (4182000000)","32,182","32,182","1,354","2,153","3,157","3,035","3,758","5,748","7,216","3,902","1,682","171","6","30,323","30,323","1,302","2,067","2,369","2,471","3,337","5,049","6,702","4,026","2,518","464","18"
"경기도 양평군 (4183000000)","63,618","63,618","3,075","5,236","5,298","5,587","7,956","10,966","13,872","8,023","3,276","325","4","63,207","63,207","3,012","4,768","4,226","5,105","7,898","10,657","13,768","8,061","4,655","1,028","29"
"강원특별자치도  (5100000000)","763,577","763,577","43,916","65,633","87,783","84,895","102,443","134,563","140,014","69,578","31,663","2,991","98","755,123","755,123","42,163","61,161","69,064","73,479","99,040","126,547","139,005","79,184","54,663","10,499","318"
"동해출장소  (5110500000)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"강원특별자치도 춘천시 (5111000000)","141,263","141,263","9,178","13,426","19,703","17,969","19,433","23,334","21,954","10,472","5,214","556","24","144,847","144,847","8,845","12,521","17,039","16,450","20,112","23,239","23,261","12,549","9,068","1,725","38"
"강원특별자치도 원주시 (5113000000)","179,295","179,295","12,553","17,557","21,620","23,884","26,917","31,129","27,887","11,907","5,301","528","12","182,918","182,918","12,091","16,784","19,070","22,367","27,540","31,788","28,409","13,666","9,295","1,864","44"
"강원특별자치도 강릉시 (5115000000)","102,911","102,911","5,583","8,842","11,814","10,876","14,326","18,638","18,135","9,818","4,441","431","7","104,826","104,826","5,221","7,986","9,697","9,397","14,089","17,920","19,428","11,932","7,595","1,508","53"
"강원특별자치도 동해시 (5117000000)","44,528","44,528","2,566","4,188","4,730","4,535","6,518","8,444","7,499","4,094","1,805","146","3","43,188","43,188","2,487","3,885","3,344","3,636","6,130","7,575","7,849","4,791","2,970","505","16"
"강원특별자치도 태백시 (5119000000)","19,197","19,197","884","1,716","1,635","1,518","2,755","3,682","3,833","2,221","899","52","2","18,800","18,800","796","1,587","1,147","1,236","2,493","3,110","3,747","2,820","1,626","231","7"
"강원특별자치도 속초시 (5121000000)","39,986","39,986","2,406","3,347","4,213","4,850","5,639","7,309","7,240","3,445","1,385","146","6","41,039","41,039","2,313","3,288","3,301","3,996","5,586","7,523","7,755","4,289","2,471","509","8"
"강원특별자치도 삼척시 (5123000000)","31,542","31,542","1,522","2,453","3,684","2,624","3,909","5,951","6,208","3,506","1,513","170","2","30,410","30,410","1,468","2,231","2,716","2,240","3,457","4,755","6,036","3,902","2,965","621","19"
"강원특별자치도 홍천군 (5172000000)","34,469","34,469","1,550","2,221","3,172","3,113","3,718","5,894","8,503","4,276","1,842","173","7","32,341","32,341","1,477","2,171","2,143","2,422","3,297","5,210","7,752","4,105","3,064","675","25"
"강원특별자치도 횡성군 (5173000000)","23,721","23,721","903","1,760","1,719","1,587","2,424","4,174","6,265","3,316","1,448","123","2","22,439","22,439","842","1,565","1,299","1,350","2,001","3,733","5,693","3,132","2,303","509","12"
"강원특별자치도 영월군 (5175000000)","19,037","19,037","678","1,410","1,468","1,265","2,052","3,626","4,775","2,544","1,114","101","4","17,783","17,783","629","1,095","1,132","1,039","1,798","3,017","4,124","2,624","1,947","372","6"
"강원특별자치도 평창군 (5176000000)","20,954","20,954","638","1,371","1,758","1,484","2,327","4,020","5,341","2,730","1,196","84","5","19,433","19,433","696","1,194","1,132","1,180","1,960","3,447","4,784","2,796","1,894","336","14"
"강원특별자치도 정선군 (5177000000)","17,511","17,511","595","1,097","1,254","1,246","2,172","3,576","4,370","2,165","952","76","8","16,072","16,072","587","1,071","892","946","1,729","2,678","3,765","2,454","1,655","276","19"
"강원특별자치도 철원군 (5178000000)","20,955","20,955","1,213","1,667","2,603","2,403","2,421","3,500","3,961","2,065","1,028","93","1","19,585","19,585","1,211","1,511","1,535","1,765","2,195","3,050","3,724","2,442","1,858","281","13"
"강원특별자치도 화천군 (5179000000)","12,307","12,307","689","823","1,908","1,510","1,251","1,889","2,430","1,108","631","62","6","10,668","10,668","683","809","943","1,025","1,060","1,663","2,034","1,216","1,051","177","7"
"강원특별자치도 양구군 (5180000000)","10,781","10,781","666","940","1,380","1,281","1,220","1,662","2,120","957","508","47","0","9,850","9,850","671","882","823","946","1,122","1,450","1,877","1,045","870","162","2"
"강원특별자치도 인제군 (5181000000)","17,180","17,180","1,134","1,100","2,478","2,276","2,058","2,623","3,310","1,468","675","54","4","14,352","14,352","1,027","1,072","1,175","1,556","1,735","2,103","2,896","1,436","1,121","220","11"
"강원특별자치도 고성군 (5182000000)","13,853","13,853","621","834","1,433","1,350","1,535","2,522","3,040","1,643","800","73","2","13,174","13,174","587","746","900","1,026","1,279","2,077","2,875","1,945","1,470","259","10"
"강원특별자치도 양양군 (5183000000)","14,087","14,087","537","881","1,211","1,124","1,768","2,590","3,143","1,843","911","76","3","13,398","13,398","532","763","776","902","1,457","2,209","2,996","2,040","1,440","269","14"
"충청북도  (4300000000)","809,697","809,697","50,387","73,760","96,340","103,826","117,327","140,891","133,207","63,980","27,278","2,655","46","781,403","781,403","47,657","69,399","78,138","85,059","108,548","132,892","129,685","71,251","49,020","9,520","234"
"충청북도 청주시 (4311000000)","431,609","431,609","31,118","43,284","58,132","65,066","67,720","71,437","58,088","25,701","10,092","957","14","422,761","422,761","29,707","41,021","49,443","54,782","64,734","71,720","59,614","29,739","18,393","3,533","75"
"충청북도 청주시 상당구 (4311100000)","98,346","98,346","7,160","10,200","11,682","12,711","14,990","17,097","14,763","6,762","2,725","251","5","99,807","99,807","7,078","9,642","10,027","11,862","14,862","17,598","14,979","7,778","5,019","943","19"
"충청북도 청주시 서원구 (4311200000)","90,636","90,636","4,907","8,896","13,390","11,239","12,674","16,277","13,896","6,455","2,645","255","2","91,396","91,396","4,616","8,418","11,451","9,352","12,835","16,853","14,706","7,725","4,573","850","17"
"충청북도 청주시 흥덕구 (4311300000)","145,189","145,189","11,661","14,004","20,319","25,736","23,348","22,990","17,400","7,022","2,474","231","4","139,789","139,789","11,110","13,219","17,534","21,535","22,056","23,136","17,781","7,911","4,570","917","20"
"충청북도 청주시 청원구 (4311400000)","97,438","97,438","7,390","10,184","12,741","15,380","16,708","15,073","12,029","5,462","2,248","220","3","91,769","91,769","6,903","9,742","10,431","12,033","14,981","14,133","12,148","6,325","4,231","823","19"
"충청북도 충주시 (4313000000)","105,197","105,197","5,914","9,044","12,111","12,592","14,537","18,807","18,712","8,879","4,186","407","8","102,127","102,127","5,631","8,567","9,043","9,780","13,682","17,958","18,370","10,315","7,319","1,425","37"
"충청북도 제천시 (4315000000)","64,813","64,813","3,439","5,500","7,451","6,270","8,080","11,782","12,543","6,640","2,864","240","4","63,912","63,912","3,108","5,280","6,019","5,082","7,663","11,138","12,554","7,363","4,828","844","33"
"충청북도 보은군 (4372000000)","15,521","15,521","542","977","1,060","981","1,491","2,832","4,090","2,274","1,129","142","3","15,046","15,046","492","829","763","782","1,212","2,270","3,632","2,390","2,164","509","3"
"충청북도 옥천군 (4373000000)","24,427","24,427","928","1,858","2,054","1,656","2,790","4,444","5,682","3,399","1,435","177","4","23,867","23,867","826","1,691","1,548","1,440","2,538","3,926","5,175","3,453","2,683","569","18"
"충청북도 영동군 (4374000000)","21,948","21,948","761","1,460","1,738","1,427","2,235","4,201","5,361","3,080","1,533","151","1","21,649","21,649","692","1,361","1,356","1,134","1,940","3,495","4,962","3,421","2,796","475","17"
"충청북도 증평군 (4374500000)","19,378","19,378","1,266","1,789","2,281","2,560","2,898","3,375","3,034","1,509","616","49","1","17,837","17,837","1,177","1,605","1,658","1,990","2,427","3,005","2,969","1,664","1,138","201","3"
"충청북도 진천군 (4375000000)","45,706","45,706","3,324","4,331","4,741","6,153","7,729","8,117","6,815","3,027","1,327","141","1","40,828","40,828","3,046","4,100","3,356","4,815","6,515","6,544","6,117","3,284","2,513","529","9"
"충청북도 괴산군 (4376000000)","18,656","18,656","533","874","1,200","1,090","1,760","3,534","5,320","2,939","1,277","129","0","17,416","17,416","491","856","842","826","1,372","2,847","4,491","2,893","2,304","484","10"
"충청북도 음성군 (4377000000)","48,447","48,447","2,139","3,755","4,578","5,105","6,701","9,701","9,788","4,532","1,951","189","8","42,530","42,530","2,052","3,333","3,427","3,677","5,292","7,685","8,397","4,606","3,350","690","21"
"충청북도 단양군 (4380000000)","13,995","13,995","423","888","994","926","1,386","2,661","3,774","2,000","868","73","2","13,430","13,430","435","756","683","751","1,173","2,304","3,404","2,123","1,532","261","8"
"충청남도  (4400000000)","1,096,190","1,096,190","69,769","104,253","122,494","137,836","169,834","187,899","170,331","88,817","39,943","4,940","74","1,040,442","1,040,442","66,229","97,530","98,232","114,283","149,563","165,506","163,437","98,450","71,406","15,394","412"
"충청남도 천안시 (4413000000)","338,574","338,574","24,130","34,744","46,931","52,712","57,708","56,412","41,980","16,844","6,407","694","12","321,226","321,226","22,791","32,717","40,977","44,659","52,656","53,840","40,688","18,983","11,542","2,314","59"
"충청남도 천안시 동남구 (4413100000)","132,452","132,452","7,961","13,056","17,594","17,536","20,782","23,365","19,689","8,695","3,399","368","7","128,624","128,624","7,607","12,228","15,655","14,781","19,599","22,392","19,534","9,627","5,953","1,215","33"
"충청남도 천안시 서북구 (4413300000)","206,122","206,122","16,169","21,688","29,337","35,176","36,926","33,047","22,291","8,149","3,008","326","5","192,602","192,602","15,184","20,489","25,322","29,878","33,057","31,448","21,154","9,356","5,589","1,099","26"
"충청남도 공주시 (4415000000)","50,633","50,633","2,108","4,129","5,463","4,561","6,039","8,738","10,528","5,951","2,718","392","6","50,808","50,808","1,966","3,798","5,172","3,728","5,451","8,086","10,288","6,302","4,884","1,105","28"
"충청남도 보령시 (4418000000)","47,565","47,565","2,221","3,771","4,253","4,293","6,402","8,731","9,505","5,544","2,555","282","8","46,349","46,349","2,129","3,566","3,179","3,392","5,395","7,476","9,306","6,482","4,463","931","30"
"충청남도 아산시 (4420000000)","184,831","184,831","15,520","20,041","21,708","27,982","34,274","29,713","21,311","9,684","4,165","423","10","169,676","169,676","14,636","19,055","17,125","24,177","29,383","25,214","20,087","11,324","7,174","1,473","28"
"충청남도 서산시 (4421000000)","91,423","91,423","5,952","8,769","10,162","11,542","13,971","16,132","13,669","7,414","3,392","417","3","83,233","83,233","5,710","8,112","6,501","8,517","12,281","13,896","13,110","7,811","5,816","1,433","46"
"충청남도 논산시 (4423000000)","54,416","54,416","2,665","4,485","4,996","4,959","6,746","9,785","11,097","6,331","2,960","388","4","54,242","54,242","2,506","4,123","3,978","4,203","6,060","8,631","10,673","7,189","5,604","1,246","29"
"충청남도 계룡시 (4425000000)","23,235","23,235","1,798","3,239","2,681","2,807","3,978","4,077","2,840","1,331","428","53","3","23,389","23,389","1,756","2,953","2,082","2,595","4,266","4,186","3,098","1,419","834","197","3"
"충청남도 당진시 (4427000000)","92,057","92,057","6,342","8,699","8,657","11,871","15,657","16,344","13,831","6,984","3,256","413","3","79,768","79,768","6,062","8,039","5,937","8,656","12,282","12,418","12,200","7,387","5,648","1,107","32"
"충청남도 금산군 (4471000000)","25,149","25,149","851","2,140","1,882","1,625","2,772","4,794","5,817","3,489","1,574","204","1","24,473","24,473","871","1,926","1,373","1,446","2,429","3,879","5,242","3,730","2,993","566","18"
"충청남도 부여군 (4476000000)","29,705","29,705","999","2,100","2,256","1,919","3,168","5,075","6,968","4,528","2,337","351","4","29,933","29,933","915","1,830","1,675","1,605","2,588","4,333","6,801","4,990","4,206","959","31"
"충청남도 서천군 (4477000000)","23,946","23,946","810","1,523","1,734","1,585","2,548","4,170","5,591","3,774","1,945","263","3","24,343","24,343","790","1,442","1,267","1,246","2,096","3,492","5,220","4,331","3,577","859","23"
"충청남도 청양군 (4479000000)","15,183","15,183","444","990","1,410","944","1,508","2,678","3,591","2,261","1,177","176","4","14,463","14,463","431","885","943","781","1,120","1,999","3,339","2,289","2,206","464","6"
"충청남도 홍성군 (4480000000)","49,483","49,483","3,124","4,788","4,769","5,233","6,740","8,560","8,491","5,033","2,421","320","4","49,650","49,650","2,968","4,542","3,896","4,599","6,578","7,419","8,459","5,639","4,556","959","35"
"충청남도 예산군 (4481000000)","39,491","39,491","1,719","2,828","3,199","3,503","4,654","7,116","8,360","5,131","2,642","335","4","39,164","39,164","1,642","2,618","2,459","2,953","4,029","5,966","8,156","5,782","4,525","1,003","31"
"충청남도 태안군 (4482500000)","30,499","30,499","1,086","2,007","2,393","2,300","3,669","5,574","6,752","4,518","1,966","229","5","29,725","29,725","1,056","1,924","1,668","1,726","2,949","4,671","6,770","4,792","3,378","778","13"
"전북특별자치도  (5200000000)","866,399","866,399","48,760","83,596","98,842","90,241","120,425","156,947","144,340","82,608","36,494","4,091","55","873,352","873,352","46,800","77,931","83,171","82,314","115,140","145,320","143,823","96,229","67,971","14,246","407"
"전북특별자치도 전주시 (5211000000)","312,544","312,544","20,785","34,654","42,712","39,295","47,236","53,942","41,655","22,119","9,179","956","11","324,177","324,177","19,921","32,509","38,913","36,802","48,953","55,877","45,988","27,214","15,041","2,883","76"
"전북특별자치도 전주시 완산구 (5211100000)","156,431","156,431","9,183","16,607","21,778","18,977","22,244","27,732","22,422","12,168","4,778","537","5","166,102","166,102","8,707","15,362","20,302","17,843","23,707","30,100","25,399","14,889","8,103","1,643","47"
"전북특별자치도 전주시 덕진구 (5211300000)","156,113","156,113","11,602","18,047","20,934","20,318","24,992","26,210","19,233","9,951","4,401","419","6","158,075","158,075","11,214","17,147","18,611","18,959","25,246","25,777","20,589","12,325","6,938","1,240","29"
"전북특별자치도 군산시 (5213000000)","130,948","130,948","7,696","13,108","14,245","13,854","20,535","24,087","20,767","11,796","4,418","436","6","127,227","127,227","7,530","12,260","11,223","12,201","18,845","21,543","20,871","13,403","7,748","1,552","51"
"전북특별자치도 익산시 (5214000000)","133,418","133,418","6,975","12,802","16,608","13,871","18,182","24,416","22,774","12,274","4,954","558","4","134,640","134,640","6,844","12,117","13,747","12,436","17,356","23,742","22,889","14,251","9,223","1,986","49"
"전북특별자치도 정읍시 (5218000000)","50,964","50,964","2,409","4,363","4,943","4,126","6,355","9,782","9,807","5,820","2,986","367","6","51,127","51,127","2,207","3,981","3,755","3,592","5,823","8,379","9,151","7,005","5,870","1,328","36"
"전북특별자치도 남원시 (5219000000)","37,081","37,081","1,846","3,275","3,343","2,860","4,263","7,249","7,189","4,602","2,182","264","8","38,458","38,458","1,690","3,006","2,592","2,667","4,307","6,402","6,939","5,310","4,498","1,019","28"
"전북특별자치도 김제시 (5221000000)","40,287","40,287","1,768","2,923","3,642","3,376","4,820","7,399","8,306","5,174","2,530","340","9","40,220","40,220","1,707","2,687","2,819","2,989","3,920","5,787","7,803","6,036","5,171","1,270","31"
"전북특별자치도 완주군 (5271000000)","50,888","50,888","3,087","4,451","5,031","5,731","7,132","9,201","8,988","4,980","2,056","229","2","48,217","48,217","2,991","4,167","4,011","5,265","6,320","7,516","8,052","5,110","3,905","856","24"
"전북특별자치도 진안군 (5272000000)","12,375","12,375","432","767","900","662","1,181","2,388","3,096","1,905","936","107","1","11,834","11,834","410","732","673","688","923","1,811","2,527","1,939","1,719","397","15"
"전북특별자치도 무주군 (5273000000)","11,585","11,585","395","866","863","772","1,261","2,269","2,670","1,538","852","97","2","11,481","11,481","385","812","669","640","1,073","1,759","2,329","1,810","1,662","332","10"
"전북특별자치도 장수군 (5274000000)","10,391","10,391","392","773","719","641","1,148","1,975","2,334","1,571","727","110","1","10,308","10,308","356","742","542","557","897","1,541","2,119","1,650","1,599","296","9"
"전북특별자치도 임실군 (5275000000)","13,210","13,210","538","738","942","875","1,350","2,422","3,160","1,981","1,064","139","1","12,394","12,394","493","660","660","736","913","1,766","2,465","2,125","2,122","442","12"
"전북특별자치도 순창군 (5277000000)","13,168","13,168","539","1,057","1,105","803","1,456","2,493","2,912","1,740","948","114","1","13,588","13,588","527","980","869","805","1,280","1,989","2,537","2,105","2,088","391","17"
"전북특별자치도 고창군 (5279000000)","25,499","25,499","968","2,143","1,877","1,696","2,810","4,759","5,428","3,652","1,961","203","2","25,571","25,571","903","1,705","1,349","1,517","2,246","3,654","5,136","4,237","3,967","820","37"
"전북특별자치도 부안군 (5280000000)","24,041","24,041","930","1,676","1,912","1,679","2,696","4,565","5,254","3,456","1,701","171","1","24,110","24,110","836","1,573","1,349","1,419","2,284","3,554","5,017","4,034","3,358","674","12"
"전라남도  (4600000000)","902,758","902,758","51,904","80,249","95,114","89,446","123,498","166,590","160,350","90,494","40,936","4,101","76","886,852","886,852","49,835","76,111","74,807","79,551","109,961","142,190","150,811","104,139","82,564","16,406","477"
"전라남도 목포시 (4611000000)","104,514","104,514","6,200","11,566","12,711","10,645","17,107","19,141","15,151","8,487","3,223","279","4","105,747","105,747","5,828","11,053","10,574","9,970","16,149","18,014","16,881","10,538","5,736","974","30"
"전라남도 여수시 (4613000000)","136,456","136,456","8,099","12,285","16,148","15,061","19,503","24,791","22,575","12,880","4,718","389","7","131,664","131,664","7,804","11,797","12,286","12,587","17,674","22,313","22,700","14,482","8,421","1,546","54"
"전라남도 순천시 (4615000000)","137,894","137,894","9,811","14,458","17,472","16,706","19,568","24,450","21,047","9,918","4,030","429","5","138,232","138,232","9,287","13,623","14,462","15,320","19,910","24,431","20,708","11,137","7,670","1,641","43"
"전라남도 나주시 (4617000000)","58,912","58,912","4,439","5,270","5,635","7,234","8,928","9,708","9,646","5,302","2,480","259","11","57,792","57,792","4,274","4,962","5,037","6,944","7,752","7,829","8,808","6,139","5,018","1,003","26"
"전라남도 광양시 (4623000000)","81,044","81,044","5,715","8,014","10,034","10,667","12,023","16,138","11,831","4,776","1,688","157","1","73,548","73,548","5,525","7,698","7,253","8,661","10,704","14,234","10,322","4,942","3,404","777","28"
"전라남도 담양군 (4671000000)","22,528","22,528","890","1,507","2,001","1,660","2,467","4,316","5,129","2,974","1,430","149","5","22,127","22,127","896","1,409","1,472","1,580","2,042","3,538","4,432","3,242","2,953","544","19"
"전라남도 곡성군 (4672000000)","13,200","13,200","378","845","1,011","838","1,324","2,546","3,163","1,902","1,036","155","2","13,390","13,390","380","720","824","751","1,120","2,008","2,670","2,115","2,250","537","15"
"전라남도 구례군 (4673000000)","11,750","11,750","383","804","884","634","1,189","2,387","2,783","1,689","901","95","1","12,297","12,297","394","765","654","651","1,074","1,927","2,516","1,972","1,960","377","7"
"전라남도 고흥군 (4677000000)","29,606","29,606","956","1,721","1,921","1,680","2,880","5,450","6,996","5,019","2,643","334","6","30,667","30,667","992","1,549","1,346","1,430","2,266","3,958","6,463","5,951","5,394","1,266","52"
"전라남도 보성군 (4678000000)","18,216","18,216","620","1,129","1,263","1,101","1,800","3,444","4,236","2,864","1,569","186","4","18,854","18,854","570","1,092","930","884","1,462","2,540","3,854","3,356","3,373","770","23"
"전라남도 화순군 (4679000000)","30,137","30,137","1,331","2,533","3,120","2,357","3,438","5,980","6,233","3,271","1,687","185","2","30,695","30,695","1,255","2,312","2,810","2,230","3,292","5,205","5,337","3,885","3,670","683","16"
"전라남도 장흥군 (4680000000)","16,870","16,870","678","1,212","1,346","1,206","1,877","3,194","3,619","2,325","1,277","133","3","17,597","17,597","697","1,099","1,054","1,022","1,503","2,543","3,504","2,813","2,716","635","11"
"전라남도 강진군 (4681000000)","15,758","15,758","685","1,130","1,279","1,113","1,642","2,863","3,499","2,217","1,214","115","1","16,439","16,439","694","1,045","955","1,006","1,439","2,281","3,309","2,659","2,503","538","10"
"전라남도 해남군 (4682000000)","31,700","31,700","1,381","2,289","2,561","2,188","3,600","6,026","6,940","4,353","2,171","189","2","31,580","31,580","1,304","2,268","1,861","1,779","3,016","4,573","6,348","5,138","4,413","857","23"
"전라남도 영암군 (4683000000)","26,972","26,972","1,211","2,016","2,695","2,069","3,922","5,507","5,240","2,801","1,351","156","4","24,484","24,484","1,147","1,909","1,811","1,778","2,717","3,905","4,410","3,255","2,948","592","12"
"전라남도 무안군 (4684000000)","46,462","46,462","3,727","5,245","5,015","5,342","7,510","7,629","6,542","3,799","1,513","139","1","46,025","46,025","3,458","5,160","4,232","5,365","7,121","6,396","6,139","4,266","3,261","608","19"
"전라남도 함평군 (4686000000)","15,256","15,256","473","943","1,162","976","1,608","3,031","3,598","2,169","1,168","127","1","14,762","14,762","449","838","829","794","1,174","2,049","2,992","2,543","2,568","509","17"
"전라남도 영광군 (4687000000)","26,014","26,014","1,645","1,994","2,464","2,362","3,219","4,753","4,922","3,024","1,496","132","3","25,985","25,985","1,683","1,865","1,926","2,286","2,666","3,671","4,467","3,734","3,170","493","24"
"전라남도 장성군 (4688000000)","21,586","21,586","930","1,526","2,028","1,682","2,521","4,144","4,602","2,655","1,345","149","4","20,501","20,501","914","1,439","1,372","1,478","2,093","3,144","3,847","2,933","2,773","496","12"
"전라남도 완도군 (4689000000)","23,102","23,102","1,146","1,717","1,744","1,589","3,064","4,217","4,673","3,156","1,644","149","3","22,600","22,600","1,055","1,540","1,265","1,317","2,245","3,078","4,543","3,670","3,270","603","14"
"전라남도 진도군 (4690000000)","14,198","14,198","562","1,010","1,186","964","1,738","2,728","3,025","1,922","986","75","2","14,347","14,347","641","962","907","879","1,231","2,016","2,793","2,280","2,208","422","8"
"전라남도 신안군 (4691000000)","20,583","20,583","644","1,035","1,434","1,372","2,570","4,147","4,900","2,991","1,366","120","4","17,519","17,519","588","1,006","947","839","1,311","2,537","3,768","3,089","2,885","535","14"
"경상북도  (4700000000)","1,281,907","1,281,907","72,530","112,821","136,344","140,288","179,790","228,995","230,805","123,622","51,398","5,251","63","1,252,072","1,252,072","68,605","102,868","101,055","115,806","165,482","212,864","225,769","140,134","99,661","19,334","494"
"경상북도 포항시 (4711000000)","249,796","249,796","15,807","23,895","28,017","29,842","36,954","43,324","42,192","22,239","6,952","567","7","241,877","241,877","14,651","21,883","19,834","24,255","35,281","42,998","44,689","23,694","12,358","2,183","51"
"경상북도 포항시 남구 (4711100000)","115,187","115,187","6,605","10,729","13,507","13,320","17,284","20,544","19,327","10,417","3,229","224","1","106,495","106,495","6,177","9,764","8,653","10,203","15,546","18,717","19,999","11,049","5,448","917","22"
"경상북도 포항시 북구 (4711300000)","134,609","134,609","9,202","13,166","14,510","16,522","19,670","22,780","22,865","11,822","3,723","343","6","135,382","135,382","8,474","12,119","11,181","14,052","19,735","24,281","24,690","12,645","6,910","1,266","29"
"경상북도 경주시 (4713000000)","122,819","122,819","6,379","9,919","12,194","12,514","16,497","23,567","23,538","12,672","5,030","501","8","122,308","122,308","6,052","9,201","9,358","10,429","15,031","22,275","23,273","14,756","9,992","1,894","47"
"경상북도 김천시 (4715000000)","68,142","68,142","4,127","6,502","6,543","7,200","9,299","11,766","12,496","6,901","2,965","337","6","67,419","67,419","3,821","5,506","5,104","6,147","8,458","11,022","12,194","7,957","5,959","1,223","28"
"경상북도 안동시 (4717000000)","76,045","76,045","4,099","6,899","8,547","7,494","9,856","13,246","13,684","8,036","3,794","384","6","77,399","77,399","3,810","6,199","7,169","6,414","9,651","12,180","13,836","9,538","7,158","1,412","32"
"경상북도 구미시 (4719000000)","209,048","209,048","15,504","22,795","27,518","31,705","36,097","35,906","26,785","9,306","3,111","318","3","195,752","195,752","14,848","20,977","19,491","26,710","34,565","35,877","24,985","10,599","6,441","1,221","38"
"경상북도 영주시 (4721000000)","49,202","49,202","2,321","4,675","4,906","4,130","5,954","8,856","9,399","5,855","2,800","303","3","49,826","49,826","2,186","4,016","3,711","3,305","5,751","8,137","9,733","6,957","5,015","986","29"
"경상북도 영천시 (4723000000)","50,397","50,397","2,363","3,221","4,572","4,507","6,115","9,346","10,870","6,458","2,682","262","1","48,095","48,095","2,295","2,919","3,025","3,731","4,876","7,928","10,065","7,093","5,231","916","16"
